Price,Adj Close,Close,Close,Close,Dividends,Dividends,High,High,High,Low,Low,Low,Open,Open,Open,Stock Splits,Stock Splits,Volume,Volume,Volume
Ticker,UNH,MRK,PFE,UNH,MRK,PFE,MRK,PFE,UNH,MRK,PFE,UNH,MRK,PFE,UNH,MRK,PFE,MRK,PFE,UNH
Date,,,,,,,,,,,,,,,,,,,,
2022-01-03 00:00:00+00:00,,71.08837127685547,50.23138427734375,,0.0,0.0,71.15310607739055,51.91610647656275,,69.68269124300228,49.95650700128275,,70.82018223019185,51.87177230493498,,0.0,0.0,9441200,57219200,
2022-01-04 00:00:00+00:00,,71.21783447265625,48.35158157348633,,0.0,0.0,71.45827396412498,50.036307060829664,,70.18207070168664,47.82843025962542,,70.65371395205963,49.850101520933485,,0.0,0.0,11981700,66993100,
2022-01-05 00:00:00+00:00,,72.94717407226562,49.32694625854492,,0.0,0.0,73.80722600572304,50.045168535646525,,71.44902409857788,49.096403185478216,,71.44902409857788,49.513151783535704,,0.0,0.0,17447900,52956400,
2022-01-06 00:00:00+00:00,,72.90096282958984,48.62645721435547,,0.0,0.0,73.5945530979165,49.32694856394164,,72.08714573252492,48.31611465819966,,72.8639705019446,48.91019994640654,,0.0,0.0,11359200,37000400,
2022-01-07 00:00:00+00:00,,74.26039123535156,49.40675354003906,,0.0,0.0,74.47308827221845,49.45108770961052,,72.5587796625958,48.44025376046789,,72.92869583541784,49.08754210715606,,0.0,0.0,15212000,27703400,
2022-01-10 00:00:00+00:00,,76.1746826171875,49.867835998535156,,0.0,0.0,76.24866019056971,49.88556696025628,,73.67775430702103,48.53779062575127,,74.48232127177954,49.397884333398245,,0.0,0.0,19636800,34044700,
2022-01-11 00:00:00+00:00,,75.52734375,50.266845703125,,0.0,0.0,76.35040351914823,50.923002892975745,,74.58406422493671,49.48655487179141,,76.22093391875845,50.320048734457835,,0.0,0.0,11585100,33576600,
2022-01-12 00:00:00+00:00,,75.09268188476562,50.23138427734375,,0.0,0.0,75.29613610030027,50.68359823991588,,74.60254603219383,49.566361555485614,,74.98171198942893,49.95650700128275,,0.0,0.0,13057000,27608500,
2022-01-13 00:00:00+00:00,,75.20365142822266,49.24715042114258,,0.0,0.0,75.57356750588922,50.32005294077164,,74.28811460405876,48.96340766194284,,74.84298519277742,50.12497852539163,,0.0,0.0,9678100,28117900,
2022-01-14 00:00:00+00:00,,75.2591552734375,48.723995208740234,,0.0,0.0,75.69380624470078,49.10527514537805,,74.69503470080609,48.33384640893583,,75.46260952003428,48.750595033279545,,0.0,0.0,9478000,27072500,
